Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
232,Ed Sheeran,Photograph,6fxVffaTuwjgEk5h9QyRjy,64,2013,pop,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4,False,73,https://i.scdn.co/image/ab67616d0000b273d08209944468440145f01524,122871641.0,88.0,https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec
233,Ed Sheeran,Thinking out Loud,1Slwb6dOYkBlWal1PGtnNg,64,2013,pop,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560,4,False,71,https://i.scdn.co/image/ab67616d0000b273d08209944468440145f01524,122871641.0,88.0,https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec
768,Ed Sheeran,Bloodstream,5v4sZRuvWDcisoOk1PFv6T,64,2014,pop,0.66,0.316,3,-11.567,0,0.0364,0.529,0.000294,0.104,0.543,91.207,300253,4,False,63,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,122871641.0,88.0,https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec
812,Ed Sheeran,I'm a Mess,0xCA70t1ZA4fa9UOE0lIJm,63,2014,pop,0.697,0.377,3,-7.755,1,0.0397,0.556,0.0,0.0999,0.336,138.754,244573,4,False,59,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,122871641.0,88.0,https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec
2001,Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,87,2017,pop,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3,False,88,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,122871641.0,88.0,https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec
2007,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,85,2017,pop,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,4,False,88,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,122871641.0,88.0,https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec
2054,Ed Sheeran,Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,78,2017,pop,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154,4,False,78,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,122871641.0,88.0,https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec
2055,Ed Sheeran,Galway Girl,0afhq8XCExXpqazXczTSve,78,2017,pop,0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943,170827,4,False,79,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,122871641.0,88.0,https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec
2056,Ed Sheeran,Happier,2RttW7RAu5nOAfq6YFvApB,78,2017,pop,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792,207520,4,False,75,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,122871641.0,88.0,https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec
2129,Ed Sheeran,Supermarket Flowers,4VuS959DSpr82t3qBqCrWG,74,2017,pop,0.589,0.242,6,-10.517,1,0.0442,0.914,0.0,0.0887,0.257,89.749,221107,4,False,73,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,122871641.0,88.0,https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec
2154,Ed Sheeran,Dive,51ChrwmUPDJvedPQnIU8Ls,73,2017,pop,0.761,0.386,4,-6.158,1,0.0399,0.355,0.0,0.0953,0.526,134.943,238440,3,False,78,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,122871641.0,88.0,https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec
